index,electronic,mess,mess_converted,ratio_el_me,time
129,3.254869,202.1,3.368,0.9663,68.800
130,3.226973,195.5,3.258,0.9904,69.333
131,3.171945,195.5,3.258,0.9735,69.867
132,3.115187,195.5,3.258,0.9561,70.400
133,3.08764,188.9,3.148,0.9807,70.933
134,3.030744,188.9,3.148,0.9627,71.467
135,2.972651,182.1,3.035,0.9795,72.000
136,2.945334,182.1,3.035,0.9705,72.533
137,2.886569,176.1,2.935,0.9835,73.067
138,2.857796,176.1,2.935,0.9737,73.600
139,2.798424,170.8,2.847,0.9831,74.133
140,2.769776,170.8,2.847,0.9730,74.667
141,2.709733,165.6,2.760,0.9818,75.200
142,2.679643,165.6,2.760,0.9709,75.733
143,2.619008,160.1,2.668,0.9815,76.267
144,2.588527,160.1,2.668,0.9701,76.800
145,2.557178,160.1,2.668,0.9583,77.333
146,2.49491,154.7,2.578,0.9676,77.867
147,2.464025,154.7,2.578,0.9557,78.400
148,2.434274,149.1,2.485,0.9796,78.933
149,2.401814,149.1,2.485,0.9665,79.467
150,2.338022,143.5,2.392,0.9776,80.000
151,2.304487,143.5,2.392,0.9635,80.533
152,2.27372,143.5,2.392,0.9507,81.067
153,2.241831,137.6,2.293,0.9775,81.600
154,2.2077,137.6,2.293,0.9627,82.133
155,2.141951,131.8,2.197,0.9751,82.667
156,2.108423,131.8,2.197,0.9598,83.200
157,2.07586,131.8,2.197,0.9450,83.733
158,2.041216,125.8,2.097,0.9736,84.267
159,2.006421,125.8,2.097,0.9570,84.800
160,1.972355,125.8,2.097,0.9407,85.333
161,1.937083,119.7,1.995,0.9710,85.867
162,1.902877,119.7,1.995,0.9538,86.400
163,1.869243,114.5,1.908,0.9795,86.933
164,1.831931,114.5,1.908,0.9600,87.467
165,1.794997,110.3,1.838,0.9764,88.000
166,1.75982,110.3,1.838,0.9573,88.533
167,1.721953,105.8,1.763,0.9765,89.067
168,1.686955,105.8,1.763,0.9567,89.600
169,1.650078,101.6,1.693,0.9745,90.133
170,1.650078,101.6,1.693,0.9745,90.667
171,1.61534,97,1.617,0.9992,91.200
172,1.57399,97,1.617,0.9736,91.733
173,1.535664,97,1.617,0.9499,92.267
174,1.496791,92.5,1.542,0.9709,92.800
175,1.496791,92.5,1.542,0.9709,93.333
176,1.459155,87.9,1.465,0.9960,93.867
177,1.417266,87.9,1.465,0.9674,94.400
178,1.376834,87.9,1.465,0.9398,94.933
179,1.376834,83,1.383,0.9953,95.467
180,1.337099,83,1.383,0.9666,96.000
181,1.295203,83,1.383,0.9363,96.533
182,1.295203,78.1,1.302,0.9950,97.067
183,1.254642,78.1,1.302,0.9639,97.600
184,1.21331,78.1,1.302,0.9321,98.133
185,1.21331,73.2,1.220,0.9945,98.667
186,1.166807,73.2,1.220,0.9564,99.200
187,1.12166,73.2,1.220,0.9194,99.733
188,1.12166,67.8,1.130,0.9926,100.267
189,1.078349,67.8,1.130,0.9543,100.800
190,1.078349,67.8,1.130,0.9543,101.333
191,1.030639,67.8,1.130,0.9121,101.867
192,1.030639,62.3,1.038,0.9926,102.400
193,0.985898,62.3,1.038,0.9495,102.933
194,0.985898,58.3,0.972,1.0146,103.467
195,0.93706,58.3,0.972,0.9644,104.000
196,0.93706,55.2,0.920,1.0185,104.533
197,0.884367,55.2,0.920,0.9613,105.067
198,0.884367,52.1,0.868,1.0185,105.600
199,0.837173,52.1,0.868,0.9641,106.133
200,0.837173,49.3,0.822,1.0189,106.667
201,0.837173,49.3,0.822,1.0189,107.200
202,0.784525,49.3,0.822,0.9548,107.733
203,0.784525,46,0.767,1.0233,108.267
204,0.729586,46,0.767,0.9516,108.800
205,0.729586,42.7,0.712,1.0252,109.333
206,0.729586,42.7,0.712,1.0252,109.867
207,0.675493,42.7,0.712,0.9492,110.400
208,0.675493,39.4,0.657,1.0287,110.933
209,0.675493,39.4,0.657,1.0287,111.467
210,0.608853,39.4,0.657,0.9272,112.000
211,0.608853,35.3,0.588,1.0349,112.533
212,0.608853,35.3,0.588,1.0349,113.067
213,0.546917,35.3,0.588,0.9296,113.600
214,0.546917,35.3,0.588,0.9296,114.133
215,0.546917,31.6,0.527,1.0385,114.667
216,0.546917,31.6,0.527,1.0385,115.200
217,0.483727,31.6,0.527,0.9185,115.733
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
