index,electronic,mess,mess_converted,ratio_el_me,time,z
88,3.3230543,201.8,3.363333333,0.988024073,93.867,2784
89,3.2991983,199.9,3.331666667,0.990254617,94.933,2816
90,3.2657543,198,3.3,0.989622515,96.000,2848
91,3.2417013,196,3.266666667,0.992357541,97.067,2880
92,3.2090783,194.1,3.235,0.99198711,98.133,2912
93,3.1832543,192.1,3.201666667,0.994249131,99.200,2944
94,3.1587993,190,3.166666667,0.997515568,100.267,2976
95,3.1242193,190,3.166666667,0.986595568,101.333,3008
96,3.0991233,188,3.133333333,0.989081904,102.400,3040
97,3.0736703,186,3.1,0.991506548,103.467,3072
98,3.0389963,183.9,3.065,0.991515922,104.533,3104
99,3.0137913,181.9,3.031666667,0.994103782,105.600,3136
100,2.9862873,181.9,3.031666667,0.985031545,106.667,3168
101,2.9602613,179.8,2.996666667,0.987851379,107.733,3200
102,2.9341343,177.9,2.965,0.989589983,108.800,3232
103,2.9068423,176.4,2.94,0.988721871,109.867,3264
104,2.8805833,174.7,2.911666667,0.989324545,110.933,3296
105,2.8446593,173.2,2.886666667,0.985447794,112.000,3328
106,2.8176003,171.5,2.858333333,0.985749376,113.067,3360
107,2.7899303,168.4,2.806666667,0.994036924,114.133,3392
108,2.7716193,166.7,2.778333333,0.997583431,115.200,3424
109,2.7432733,164.9,2.748333333,0.998158872,116.267,3456
110,2.7159743,164.9,2.748333333,0.988225943,117.333,3488
111,2.6867853,163.2,2.72,0.987788713,118.400,3520
112,2.6579913,161.5,2.691666667,0.987489028,119.467,3552
113,2.6295863,159.8,2.663333333,0.987329024,120.533,3584
114,2.5992933,158.1,2.635,0.98644907,121.600,3616
115,2.5810453,156.3,2.605,0.990804338,122.667,3648
116,2.5518543,154.6,2.576666667,0.990370362,123.733,3680
117,2.5219913,152.8,2.546666667,0.99031072,124.800,3712
118,2.5016013,151,2.516666667,0.994013762,125.867,3744
119,2.4716263,149.2,2.486666667,0.993951595,126.933,3776
120,2.4405483,147.5,2.458333333,0.99276541,128.000,3808
121,2.4192923,145.4,2.423333333,0.998332448,129.067,3840
122,2.3888703,145.4,2.423333333,0.985778666,130.133,3872
123,2.3673353,143.7,2.395,0.988448977,131.200,3904
124,2.3359253,141.8,2.363333333,0.988402807,132.267,3936
125,2.3147293,139.9,2.331666667,0.99273594,133.333,3968
126,2.2835223,138.1,2.301666667,0.992116857,134.400,4000
127,2.2613793,136.1,2.268333333,0.996934298,135.467,4032
128,2.2291183,136.1,2.268333333,0.982711962,136.533,4064
129,2.2059083,134.1,2.235,0.986983579,137.600,4096
130,2.1833303,132.1,2.201666667,0.991671597,138.667,4128
131,2.1488743,130.1,2.168333333,0.991025811,139.733,4160
132,2.1264293,130.1,2.168333333,0.980674543,140.800,4192
133,2.1052993,128,2.133333333,0.986859047,141.867,4224
134,2.0797283,126,2.1,0.99034681,142.933,4256
135,2.0560563,123.8,2.063333333,0.996473166,144.000,4288
136,2.0205613,123.8,2.063333333,0.97927042,145.067,4320
137,1.9978263,121.7,2.028333333,0.984959556,146.133,4352
138,1.9740373,119.9,1.998333333,0.987841852,147.200,4384
139,1.9476473,118.5,1.975,0.986150532,148.267,4416
140,1.9236693,117,1.95,0.986497077,149.333,4448
141,1.9002163,115.5,1.925,0.987125351,150.400,4480
142,1.8720423,114.1,1.901666667,0.984421893,151.467,4512
143,1.8465993,112.4,1.873333333,0.985729164,152.533,4544
144,1.8219453,110.9,1.848333333,0.985723336,153.600,4576
145,1.7954093,109.4,1.823333333,0.984685174,154.667,4608
146,1.7691353,107.8,1.796666667,0.984676419,155.733,4640
147,1.7413353,106.2,1.77,0.983805254,156.800,4672
148,1.7274743,104.6,1.743333333,0.99090304,157.867,4704
149,1.7013283,103,1.716666667,0.991065029,158.933,4736
150,1.6747503,101.4,1.69,0.990976509,160.000,4768
151,1.6441313,99.6,1.66,0.990440542,161.067,4800
152,1.6156553,98,1.633333333,0.989176714,162.133,4832
153,1.6022353,96.2,1.603333333,0.999315156,163.200,4864
154,1.5704703,96.2,1.603333333,0.979503306,164.267,4896
155,1.5432483,94.4,1.573333333,0.980878157,165.333,4928
156,1.5274453,92.7,1.545,0.988637735,166.400,4960
157,1.4949293,90.9,1.515,0.986752013,167.467,4992
158,1.4802713,88.9,1.481666667,0.999058245,168.533,5024
159,1.4498813,88.9,1.481666667,0.978547559,169.600,5056
160,1.4345723,87.1,1.451666667,0.988224317,170.667,5088
161,1.4004663,85.2,1.42,0.986243873,171.733,5120
162,1.3850113,83.2,1.386666667,0.998806226,172.800,5152
163,1.3514393,83.2,1.386666667,0.974595649,173.867,5184
164,1.3354133,81.2,1.353333333,0.986758596,174.933,5216
165,1.2990523,79.1,1.318333333,0.98537469,176.000,5248
166,1.2847923,79.1,1.318333333,0.974558003,177.067,5280
167,1.2663613,77.2,1.286666667,0.984218627,178.133,5312
168,1.2297343,75,1.25,0.98378744,179.200,5344
169,1.2080803,75,1.25,0.96646424,180.267,5376
170,1.1914523,72.7,1.211666667,0.983316891,181.333,5408
171,1.1743483,70.5,1.175,0.999445362,182.400,5440
172,1.1341983,70.5,1.175,0.965275149,183.467,5472
173,1.1147583,68.2,1.136666667,0.980725777,184.533,5504
174,1.0929443,68.2,1.136666667,0.961534575,185.600,5536
175,1.0740863,65.8,1.096666667,0.97941,186.667,5568
176,1.0538923,63.4,1.056666667,0.997374416,187.733,5600
177,1.0302143,63.4,1.056666667,0.974966215,188.800,5632
178,1.0097913,60.8,1.013333333,0.996504572,189.867,5664
179,0.9869253,58.6,0.976666667,1.01050372,190.933,5696
180,0.9648933,57.5,0.958333333,1.006845183,192.000,5728
181,0.9460093,56.3,0.938333333,1.008180426,193.067,5760
182,0.9203633,54.7,0.911666667,1.009539269,194.133,5792
183,0.8943013,53.2,0.886666667,1.008610489,195.200,5824
184,0.8720773,51.7,0.861666667,1.012081973,196.267,5856
185,0.8435463,50.1,0.835,1.01023509,197.333,5888
186,0.8213203,50.1,0.835,0.983617126,198.400,5920
187,0.7964523,48.8,0.813333333,0.979244631,199.467,5952
188,0.7647693,47.2,0.786666667,0.972164364,200.533,5984
189,0.7647693,45.3,0.755,1.01293947,201.600,6016
190,0.7380473,43.8,0.73,1.011023699,202.667,6048
191,0.7094943,43.8,0.73,0.97191,203.733,6080
192,0.6782643,41.9,0.698333333,0.971261527,204.800,6112
193,0.6782643,40.1,0.668333333,1.014859302,205.867,6144
194,0.6496213,38.4,0.64,1.015033281,206.933,6176
195,0.6146923,38.4,0.64,0.960456719,208.000,6208
196,0.6146923,36,0.6,1.024487167,209.067,6240
197,0.5765523,36,0.6,0.9609205,210.133,6272
198,0.5765523,33.9,0.565,1.020446549,211.200,6304
199,0.5422293,33.9,0.565,0.959697876,212.267,6336
200,0.5422293,31.8,0.53,1.023074151,213.333,6368
201,0.5025373,29.7,0.495,1.015226869,214.400,6400
202,0.5025373,29.7,0.495,1.015226869,215.467,6432
,,,,,,
