index,electronic,mess,mess_converted,ratio_el_me,time
92,9.3450965,563.8,9.397,0.995,24.533
93,9.3381155,563.8,9.397,0.994,24.800
94,9.3255745,563.8,9.397,0.992,25.067
95,9.3186235,561.4,9.357,0.996,25.333
96,9.3047495,561.4,9.357,0.994,25.600
97,9.2978285,561.4,9.357,0.994,25.867
98,9.2853965,561.4,9.357,0.992,26.133
99,9.2785035,559,9.317,0.996,26.400
100,9.2647505,559,9.317,0.994,26.667
101,9.2578885,559,9.317,0.994,26.933
102,9.2496675,559,9.317,0.993,27.200
103,9.2373645,556.6,9.277,0.996,27.467
104,9.2291795,556.6,9.277,0.995,27.733
105,9.2169295,556.6,9.277,0.994,28.000
106,9.2087815,556.6,9.277,0.993,28.267
107,9.1979395,554.2,9.237,0.996,28.533
108,9.1898255,554.2,9.237,0.995,28.800
109,9.1776805,554.2,9.237,0.994,29.067
110,9.1696005,554.2,9.237,0.993,29.333
111,9.1615365,551.8,9.197,0.996,29.600
112,9.1494665,551.8,9.197,0.995,29.867
113,9.1414375,551.8,9.197,0.994,30.133
114,9.1294185,551.8,9.197,0.993,30.400
115,9.1214255,549.4,9.157,0.996,30.667
116,9.1094595,549.4,9.157,0.995,30.933
117,9.1015015,549.4,9.157,0.994,31.200
118,9.0895865,549.4,9.157,0.993,31.467
119,9.0816625,547,9.117,0.996,31.733
120,9.0737512,547,9.117,0.995,32.000
121,9.0605975,547,9.117,0.994,32.267
122,9.0527235,547,9.117,0.993,32.533
123,9.0409375,547,9.117,0.992,32.800
124,9.0330975,544.6,9.077,0.995,33.067
125,9.02527,544.6,9.077,0.994,33.333
126,9.0122575,544.6,9.077,0.993,33.600
127,9.0031695,542.2,9.037,0.996,33.867
128,8.9928055,542.2,9.037,0.995,34.133
129,8.9850495,542.2,9.037,0.994,34.400
130,8.9760165,542.2,9.037,0.993,34.667
131,8.9644295,539.9,8.998,0.996,34.933
132,8.9554385,539.9,8.998,0.995,35.200
133,8.9439045,539.9,8.998,0.994,35.467
134,8.9362315,539.9,8.998,0.993,35.733
135,8.9285715,537.7,8.962,0.996,36.000
136,8.9158345,537.7,8.962,0.995,36.267
137,8.9082105,537.7,8.962,0.994,36.533
138,8.8955315,537.7,8.962,0.993,36.800
139,8.8879405,535.5,8.925,0.996,37.067
140,8.8791025,535.5,8.925,0.995,37.333
141,8.8677645,535.5,8.925,0.994,37.600
142,8.8589655,535.5,8.925,0.993,37.867
143,8.8514385,533.4,8.890,0.996,38.133
144,8.8401695,533.4,8.890,0.994,38.400
145,8.8314265,533.4,8.890,0.993,38.667
146,8.8227005,533.4,8.890,0.992,38.933
147,8.8102625,531.2,8.853,0.995,39.200
148,8.8028165,531.2,8.853,0.994,39.467
149,8.7941475,531.2,8.853,0.993,39.733
150,8.7817905,529,8.817,0.996,40.000
151,8.7743935,529,8.817,0.995,40.267
152,8.7657785,529,8.817,0.994,40.533
153,8.7510505,529,8.817,0.993,40.800
154,8.7437055,526.7,8.778,0.996,41.067
155,8.7302695,526.7,8.778,0.995,41.333
156,8.7168765,526.7,8.778,0.993,41.600
157,8.7059485,526.7,8.778,0.992,41.867
158,8.6962585,524.6,8.743,0.995,42.133
159,8.6841745,524.6,8.743,0.993,42.400
160,8.6745315,524.6,8.743,0.992,42.667
161,8.6649105,524.6,8.743,0.991,42.933
162,8.6541135,521.3,8.688,0.996,43.200
163,8.6445375,521.3,8.688,0.995,43.467
164,8.6373685,521.3,8.688,0.994,43.733
165,8.6290215,521.3,8.688,0.993,44.000
166,8.6171245,519.4,8.657,0.995,44.267
167,8.6076305,519.4,8.657,0.994,44.533
168,8.6005235,519.4,8.657,0.994,44.800
169,8.5875245,519.4,8.657,0.992,45.067
170,8.5792725,517,8.617,0.996,45.333
171,8.5710365,517,8.617,0.995,45.600
172,8.5569545,517,8.617,0.993,45.867
173,8.5487625,517,8.617,0.992,46.133
174,8.5394185,514.8,8.580,0.995,46.400
175,8.5324235,514.8,8.580,0.994,46.667
176,8.5184685,514.8,8.580,0.993,46.933
177,8.5115085,514.8,8.580,0.992,47.200
178,8.5034015,512.6,8.543,0.995,47.467
179,8.4953115,512.6,8.543,0.994,47.733
180,8.4826275,512.6,8.543,0.993,48.000
181,8.4711305,512.6,8.543,0.992,48.267
182,8.4619555,510.3,8.505,0.995,48.533
183,8.4482295,510.3,8.505,0.993,48.800
184,8.4402445,510.3,8.505,0.992,49.067
185,8.4322725,510.3,8.505,0.991,49.333
186,8.4243165,507.9,8.465,0.995,49.600
187,8.4118435,507.9,8.465,0.994,49.867
188,8.4039265,507.9,8.465,0.993,50.133
189,8.3948965,505.5,8.425,0.996,50.400
190,8.3881365,505.5,8.425,0.996,50.667
191,8.3780165,505.5,8.425,0.994,50.933
192,8.3656815,505.5,8.425,0.993,51.200
193,8.3578495,503.3,8.388,0.996,51.467
194,8.3500345,503.3,8.388,0.995,51.733
195,8.3422325,503.3,8.388,0.995,52.000
196,8.3288915,503.3,8.388,0.993,52.267
197,8.3211295,503.3,8.388,0.992,52.533
198,8.3122755,501.1,8.352,0.995,52.800
199,8.3034415,501.1,8.352,0.994,53.067
200,8.2902245,501.1,8.352,0.993,53.333
201,8.2836315,501.1,8.352,0.992,53.600
202,8.2748585,498.8,8.313,0.995,53.867
203,8.2661025,498.8,8.313,0.994,54.133
204,8.2584575,498.8,8.313,0.993,54.400
205,8.2497365,498.8,8.313,0.992,54.667
206,8.2377765,496.5,8.275,0.996,54.933
207,8.2290985,496.5,8.275,0.994,55.200
208,8.2193585,496.5,8.275,0.993,55.467
209,8.2128775,496.5,8.275,0.992,55.733
210,8.2031765,494.4,8.240,0.996,56.000
211,8.1913505,494.4,8.240,0.994,56.267
212,8.1816995,494.4,8.240,0.993,56.533
213,8.1731405,494.4,8.240,0.992,56.800
214,8.1645985,492,8.200,0.996,57.067
215,8.1560755,492,8.200,0.995,57.333
216,8.1433235,492,8.200,0.993,57.600
217,8.1337845,492,8.200,0.992,57.867
218,8.1253255,489.7,8.162,0.996,58.133
219,8.1179375,489.7,8.162,0.995,58.400
220,8.1084595,489.7,8.162,0.993,58.667
221,8.1000525,489.7,8.162,0.992,58.933
222,8.0916625,487.4,8.123,0.996,59.200
223,8.0791105,487.4,8.123,0.995,59.467
224,8.0697225,487.4,8.123,0.993,59.733
225,8.0592964,487.4,8.123,0.992,60.000
